superior olive,structure
superior parietal lobule,structure
superior salivatory nucleus,structure
superior temporal gyrus,structure
supplementary motor cortex,structure
suprachiasmatic nucleus,structure
temporal operculum,structure
temporal pole,structure
temporoparietal junction,structure
thalamus,structure
transverse temporal gyrus,structure
trapezoid body,structure
trochlear nucleus,structure
tuber cinereum,structure
ventral anterior nucleus,structure
ventral posterior nucleus,structure
ventral posterolateral nucleus,structure
ventral posteromedial nucleus,structure
ventral tegmental area,structure
vestibular nuclei,structure
visual extrastriate,structure
Wernicke's area,structure
zona incerta,structure
