
Term A,Term B,conjunction,A~B,B~A,disjunction,conj/disj
"Paracentral lobule",("Posterior nucleus" AND hypothalamus),0,65,67,132,0.0
Perirhinal,"Superior frontal",0,1200,1091,2291,0.0
(Periventricular AND (nuclei OR nucleus)),Subthalam*,18,2477,4111,6588,0.00273224043716
Striatum,"Substantia nigra",8951,49989,10436,60425,0.148134050476
(Superior AND collicul*),("Superior olive" OR "superior olivary"),442,9642,815,10457,0.0422683369991
("Superior olive" OR "superior olivary"),"Wernicke's area",0,1257,251,1508,0.0
Putamen,Subthalam*,288,10461,3841,14302,0.0201370437701
Subthalam*,"Superior temporal",10,4119,4097,8216,0.00121713729309
Precuneus,("Ventral posterior" AND (nuclei OR nucleus)),0,1220,356,1576,0.0
"Amygdala",Hippocamp*,8571,14786,95523,110309,0.0776999156914
"Angular gyrus",Striatum,7,495,58933,59428,0.000117789594131
"Calcarine fissure",Caudate,1,102,18800,18902,5.29044545551e-05
"Angular gyrus","Wernicke's area",15,487,236,723,0.0207468879668
"Angular gyrus","Postcentral gyrus",13,489,518,1007,0.012909632572
"Angular gyrus",(Raphe AND (nuclei OR nucleus)),1,501,8320,8821,0.000113365831538
(Dorsomedial AND hypothal*),Fusiform,9,2130,5446,7576,0.00118796198522
Fusiform,"Nucleus accumbens",9,5446,12536,17982,0.000500500500501
"Dorsolateral prefrontal",Subiculum,270,2734,97971,100705,0.00268109825729
"Broca's area",Putamen,17,677,10732,11409,0.00149005171356
Caudate,"Medial geniculate",73,18728,1176,19904,0.00366760450161
("Centromedian" AND (nuclei OR nucleus)),"Diagonal band of Broca",0,216,895,1111,0.0
("Centromedian" AND (nuclei OR nucleus)),"Inferior frontal",0,216,2812,3028,0.0
Caudate,("Nucleus cuneatus" OR "cuneate nucleus"),13,18788,679,19467,0.000667796784302
Hypothalam*,Temporoparietal,5,107544,1455,108999,4.58719804769e-05
"Dentate gyrus",Perirhinal,118,11325,1082,12407,0.00951076005481
"Inferior parietal lobule","Postcentral gyrus",46,750,485,1235,0.0372469635628
("Inferior olive" OR "Inferior olivary"),("Nucleus gracilis" OR "gracile nucleus"),27,2353,347,2700,0.01
"Lingual gyrus",periaqueductal,1,253,4575,4828,0.000207125103563
("Mammillary body" OR "Mammillary bodies),Premotor,3,1366,4726,6092,0.000492449113592
("Locus coeruleus" OR "locus ceruleus"),"Nucleus accumbens",309,7330,12236,19566,0.0157927016253
"Nucleus basalis","Primary motor",7,1840,3198,5038,0.00138944025407
"Nucleus basalis",Temporoparietal,4,1843,1456,3299,0.00121248863292
("Mammillary body" OR "Mammillary bodies),Thalamus,409,960,42473,43433,0.00941680289181
"Nucleus basalis",("Ventral anterior" AND (nuclei OR nucleus)),0,1847,237,2084,0.0
("Nucleus cuneatus" OR "cuneate nucleus"),("Superior olive" OR "superior olivary"),9,683,1248,1931,0.00466079751424
"Inferior frontal",periaqueductal,8,2804,4568,7372,0.00108518719479
"Posterior cingulate","Ventromedial prefrontal",0,1902,3,1905,0.0
Premotor,"Primary sensory",55,4674,2955,7629,0.00720933280902
Pineal,"Posterior parietal",1,14402,2153,16555,6.04047115675e-05
(Superior AND collicul*),Thalamus,2196,7888,40686,48574,0.0452093712686
("Ventral anterior" AND (nuclei OR nucleus)),("Ventral posteromedial" AND (nuclei OR nucleus)),1,236,111,347,0.0028818443804
Subgranular,Suprachiasmatic,0,632,6026,6658,0.0
Prefrontal,("Ventral posterolateral" AND (nuclei OR nucleus)),2,24099,146,24245,8.24912353062e-05
Subthalam*,("Ventral posteromedial" AND (nuclei OR nucleus)),3,4126,109,4235,0.000708382526564
Pulvinar,(Septal AND (nuclei OR nucleus)),2,1131,4658,5789,0.00034548281223
(Intralaminar AND (nuclei OR nucleus)),("Ventral posterior" AND (nuclei OR nucleus)),32,1068,324,1392,0.0229885057471
"Lateral geniculate","Pontine nuclei",35,5145,763,5908,0.00592417061611
"Calcarine fissure","Lateral geniculate",9,94,5171,5265,0.0017094017094
Cingulate,"Dentate gyrus",230,10874,11213,22087,0.010413365328
"Diagonal band of Broca","Globus pallidus",57,838,8049,8887,0.00641386294588
(Dorsomedial AND hypothal*),Hypothalam*,2139,0,105410,105410,0.0202921923916
"Diagonal band of Broca","Thalamic reticular",0,895,600,1495,0.0
"Dorsolateral prefrontal",Infralimbic,3,3001,493,3494,0.000858614768174
"Dorsolateral prefrontal","Supplementary motor",178,2826,2183,5009,0.0355360351368
Ambiguus,("Ventral anterior" AND (nuclei OR nucleus)),1,1215,236,1451,0.000689179875948
"Calcarine fissure",Prefrontal,1,102,24100,24202,4.13188992645e-05
"Basal forbrain",Striatum,0,1,58940,58941,0.0
Caudate,"Calcarine fissure",1,18800,102,18902,5.29044545551e-05
Cingulum,"Diagonal band of Broca",5,680,890,1570,0.0031847133758
("Centromedian" AND (nuclei OR nucleus)),("Heschl's gyrus" OR "Transverse temporal"),0,216,1148,1364,0.0
Cingulum,"Primary sensory",0,685,3010,3695,0.0
("Gustatory cortex" OR "gustatory area"),Thalamus,29,124,42853,42977,0.000674779533239
"Indusium griseum","Stria terminalis",4,73,2726,2799,0.00142908181493
(Cochlear AND (nuclei OR nucleus)),"Inferior temporal",0,5307,1711,7018,0.0
Entorhinal,Subiculum,4048,1499,94193,95692,0.0423023868244
(Cochlear AND (nuclei OR nucleus)),Precuneus,0,5307,1220,6527,0.0
Entorhinal,("Ventral posterior" AND (nuclei OR nucleus)),4,5543,352,5895,0.000678541136556
Hypothalam*,"Zona incerta",540,107009,434,107443,0.00502592072075
"Indusium griseum","Postcentral gyrus",0,77,531,608,0.0
"Dentate gyrus",("Ventral posterior" AND (nuclei OR nucleus)),6,11437,350,11787,0.000509035377959
"Inferior parietal lobule","Primary motor",29,767,3176,3943,0.00735480598529
"Inferior frontal","Ventromedial prefrontal",0,2812,3,2815,0.0
Hippocamp*,Pulvinar,49,104045,1084,105129,0.00046609403685
Hippocamp*,Pons,1982,102112,23602,125714,0.0157659449226
"Lingual gyrus","Zona incerta",0,254,974,1228,0.0
("Locus coeruleus" OR "locus ceruleus"),"Medial geniculate",35,7604,1214,8818,0.00396915400318
("Mammillary body" OR "Mammillary bodies),"Postcentral gyrus",3,3,529,532,0.00563909774436
"Medial frontal","Piriform cortex",3,1592,1740,3332,0.000900360144058
("Medial dorsal" AND nucl*),(Septal AND (nuclei OR nucleus)),2,111,4658,4769,0.000419375131055
"Medial geniculate",Subiculum,129,1120,98112,99232,0.00129998387617
("Nucleus gracilis" OR "gracile nucleus"),"Primary sensory",21,353,2989,3342,0.00628366247756
("Nucleus gracilis" OR "gracile nucleus"),Perirhinal,0,374,1200,1574,0.0
Parahippocamp*,Subthalam*,6,2653,4123,6776,0.000885478158205
periaqueductal,Subthalam*,50,4526,4079,8605,0.00581057524695
"Middle temporal","Piriform cortex",2,1635,1741,3376,0.000592417061611
"Nucleus accumbens",Perirhinal,41,12504,1159,13663,0.00300080509405
"Nucleus accumbens",Pons,190,12355,25394,37749,0.0050332459138
"Postcentral gyrus",("Posterior nucleus" AND hypothalamus),0,531,67,598,0.0
"Medial frontal",Suprachiasmatic,1,1594,6025,7619,0.000131250820318
Pons,("Red nucleus"),296,25288,2080,27368,0.0108155510085
"Posterior cingulate",(Septal AND (nuclei OR nucleus)),5,1897,4655,6552,0.000763125763126
Premotor,"Thalamic reticular",3,4726,597,5323,0.000563591959421
"Posterior parietal",("Straight gyrus" OR "gyrus rectus"),0,2154,130,2284,0.0
(Superior AND collicul*),Temporoparietal,1,10083,1459,11542,8.66400970369e-05
"Posterior parahippocampal gyrus",("Ventral anterior" AND (nuclei OR nucleus)),0,41,237,278,0.0
"Supplementary motor","Ventromedial prefrontal",0,2361,3,2364,0.0
Putamen,("Ventral anterior" AND (nuclei OR nucleus)),25,10724,212,10936,0.0022860277981
"Basal forbrain","Anterior cingulate",0,1,5802,5803,0.0
Cerebellum,"Ventromedial prefrontal",0,65400,3,65403,0.0
"Dorsolateral prefrontal","Primary auditory",6,2998,1863,4861,0.00123431392718
Ambiguus,Subthalam*,4,1212,4125,5337,0.000749484729249
Ambiguus,"Superior temporal",1,1215,4106,5321,0.00018793459876
"Basal forbrain",("Superior olive" OR "superior olivary"),0,1,1257,1258,0.0
"Broca's area","Primary sensory",3,691,3007,3698,0.000811249323959
"Amygdala","Dentate gyrus",768,22589,10675,33264,0.023088023088
"Basal forbrain",(Superior AND collicul*),0,1,10084,10085,0.0
Caudate,Operculum,18,18783,908,19691,0.000914123203494
Caudate,("Superior olive" OR "superior olivary"),18,18783,1239,20022,0.000899011087803
"Dentate gyrus",Temporoparietal,0,11443,1460,12903,0.0
"Globus pallidus","Interstitial nucleus",12,8094,502,8596,0.00139599813867
("Inferior olive" OR "Inferior olivary"),"Paracentral lobule",0,2380,65,2445,0.0
Hippocamp*,"Middle temporal",172,103922,1465,105387,0.00163207985805
"Medial frontal",Pineal,1,1594,14402,15996,6.25156289072e-05
"Medial frontal",(Periventricular AND (nuclei OR nucleus)),2,1593,2493,4086,0.000489476260401
"Medial geniculate",Subgranular,0,1249,632,1881,0.0
"Medial frontal","Wernicke's area",1,1594,250,1844,0.000542299349241
"Pontine nuclei",("Superior olive" OR "superior olivary"),22,776,1235,2011,0.0109398309299
"Middle frontal","Visual extrastriate",8,1020,1526,2546,0.00314218381775
"Paracentral lobule",(Superior AND collicul*),0,65,10084,10149,0.0
"Paracentral lobule","Superior frontal",9,56,1082,1138,0.0079086115993
(Periventricular AND (nuclei OR nucleus)),("Ventral anterior" AND (nuclei OR nucleus)),3,2492,234,2726,0.001100513573
("Straight gyrus" OR "gyrus rectus"),("Ventral posterolateral" AND (nuclei OR nucleus)),0,130,148,278,0.0
Precuneus,"Posterior parietal",62,1158,2092,3250,0.0190769230769
"Piriform cortex",Pons,43,1700,25541,27241,0.00157850299181
"Superior temporal",("Ventral anterior" AND (nuclei OR nucleus)),2,4105,235,4340,0.000460829493088
Precuneus,"Superior temporal",161,1059,3946,5005,0.0321678321678
"Visual cortex","Ventromedial prefrontal",0,22880,3,22883,0.0
Suprachiasmatic,"Visual cortex",39,5987,22841,28828,0.00135285139448
Precuneus,"Wernicke's area",6,1214,245,1459,0.00411240575737
Temporoparietal,("Ventral posterior" AND (nuclei OR nucleus)),0,1460,356,1816,0.0
"Amygdala",("Posterior nucleus" AND hypothalamus),13,23344,54,23398,0.000555603042995
"Amygdala","Olfactory bulb",916,22441,10295,32736,0.027981427175
"Anterior cingulate",Hippocamp*,804,4998,103290,108288,0.00742464539007
Cingulate,"Interstitial nucleus",9,11095,505,11600,0.000775862068966
(Intralaminar AND (nuclei OR nucleus)),Pons,69,1031,25515,26546,0.00259926165901
Cerebellum,Fusiform,279,65121,5176,70297,0.00396887491643
"Diagonal band of Broca",("Red nucleus"),3,892,2373,3265,0.000918836140888
"Basal forbrain","Paracentral lobule",0,1,65,66,0.0
"Basal forbrain","Primary motor",0,1,3205,3206,0.0
("Gustatory cortex" OR "gustatory area"),"Inferior frontal",1,152,2811,2963,0.000337495781303
("Heschl's gyrus" OR "Transverse temporal"),("Locus coeruleus" OR "locus ceruleus"),1,1147,7638,8785,0.000113830392715
Entorhinal,"Olfactory bulb",263,5284,10948,16232,0.0162025628388
("Heschl's gyrus" OR "Transverse temporal"),Operculum,10,1138,916,2054,0.00486854917235
Caudate,"Ventromedial prefrontal",1,18800,2,18802,5.31858312945e-05
Claustrum,("Ventral posterior" AND (nuclei OR nucleus)),34,82707,322,83029,0.000409495477484
"Dentate gyrus",(Septal AND (nuclei OR nucleus)),217,11226,4443,15669,0.0138490012126
"Dentate gyrus",periaqueductal,53,11390,4523,15913,0.00333061019292
"Indusium griseum",(Raphe AND (nuclei OR nucleus)),7,70,8314,8384,0.000834923664122
"Dentate gyrus","Middle temporal",2,11441,1635,13076,0.00015295197308
"Inferior temporal",Pineal,1,1710,14402,16112,6.20655412115e-05
"Inferior temporal","Stria terminalis",1,1710,2729,4439,0.000225275963055
("Inferior olive" OR "Inferior olivary"),Striatum,89,2291,58851,61142,0.00145562788263
"Lingual gyrus","Nucleus accumbens",1,253,12544,12797,7.81433148394e-05
"Interstitial nucleus",Parahippocamp*,1,513,2658,3171,0.000315357931252
"Lingual gyrus","Middle temporal",36,218,1601,1819,0.0197910940077
"Inferior temporal",("Medial dorsal" AND nucl*),3,1708,110,1818,0.0016501650165
"Interstitial nucleus",("Mammillary body" OR "Mammillary bodies),4,510,4,514,0.00778210116732
("Mammillary body" OR "Mammillary bodies),"Zona incerta",27,27,951,978,0.0276073619632
Infralimbic,Prefrontal,304,192,23797,23989,0.0126724748843
"Olfactory bulb",("Nucleus gracilis" OR "gracile nucleus"),5,11206,369,11575,0.000431965442765
Infralimbic,"Lingual gyrus",0,496,254,750,0.0
Pons,Subthalam*,129,25455,4000,29455,0.0043795620438
Pineal,(Periventricular AND (nuclei OR nucleus)),34,14369,2461,16830,0.0020202020202
("Straight gyrus" OR "gyrus rectus"),"Superior frontal",10,120,1081,1201,0.00832639467111
Pulvinar,"Ventromedial prefrontal",0,1133,3,1136,0.0
Ambiguus,Fusiform,2,1214,5453,6667,0.00029998500075
"Anterior cingulate","Posterior parietal",155,5647,1999,7646,0.0202720376668
Cingulate,("Nucleus cuneatus" OR "cuneate nucleus"),4,11100,688,11788,0.000339328130302
"Angular gyrus",("Locus coeruleus" OR "locus ceruleus"),0,502,7639,8141,0.0
Cerebellum,"Pontine nuclei",392,65008,406,65414,0.00599260097227
"Diagonal band of Broca",("Ventral posterior" AND (nuclei OR nucleus)),0,895,356,1251,0.0
"Calcarine fissure",Premotor,0,103,4729,4832,0.0
Cingulum,Hippocamp*,161,524,103933,104457,0.00154130407728
Claustrum,"Piriform cortex",327,82414,1416,83830,0.00390075152094
Cingulum,"Paracentral lobule",1,684,64,748,0.00133689839572
Hypothalam*,"Ventral tegmentum",79,107470,206,107676,0.000733682529069
Hypothalam*,"Ventromedial prefrontal",0,107549,3,107552,0.0
(Inferior AND collicul*),"Primary auditory",121,4162,1748,5910,0.0204737732657
("Inferior olive" OR "Inferior olivary"),(Raphe AND (nuclei OR nucleus)),175,2205,8146,10351,0.0169065790745
Hippocamp*,("Locus coeruleus" OR "locus ceruleus"),1203,102891,6436,109327,0.0110036861891
Hippocamp*,"Thalamic reticular",39,104055,561,104616,0.000372791924753
"Interstitial nucleus",("Straight gyrus" OR "gyrus rectus"),0,514,130,644,0.0
(Intralaminar AND (nuclei OR nucleus)),Orbitofrontal,11,1089,2985,4074,0.0027000490918
("Nucleus gracilis" OR "gracile nucleus"),Temporoparietal,0,374,1460,1834,0.0
"Olfactory bulb",Pineal,117,11094,14286,25380,0.00460992907801
Insula*,"Medial geniculate",24,17149,1225,18374,0.00130619353434
(Medulla OR "medulla oblongata"),Subgranular,2,50820,630,51450,3.88726919339e-05
"Pontine nuclei",Subiculum,112,686,98129,98815,0.00113343115924
"Nucleus accumbens","Middle temporal",7,12538,1630,14168,0.000494071146245
Operculum,Prefrontal,102,824,23999,24823,0.00410909237401
Orbitofrontal,Pineal,1,2995,14402,17397,5.74811749152e-05
Pons,Precuneus,16,25568,1204,26772,0.000597639324668
"Posterior cingulate",(Superior AND collicul*),11,1891,10073,11964,0.000919424941491
Premotor,("Ventral posterolateral" AND (nuclei OR nucleus)),2,4727,146,4873,0.000410424789657
(Periventricular AND (nuclei OR nucleus)),Premotor,6,2489,4723,7212,0.000831946755408
(Septal AND (nuclei OR nucleus)),"Visual cortex",32,4628,22848,27476,0.00116465278789
"Posterior parahippocampal gyrus","Thalamic reticular",0,41,600,641,0.0
Suprachiasmatic,"Wernicke's area",0,6026,251,6277,0.0
Putamen,Subgranular,3,10746,629,11375,0.000263736263736
"Substantia nigra",Temporoparietal,0,19387,1460,20847,0.0
"Angular gyrus",(Periventricular AND (nuclei OR nucleus)),0,502,2495,2997,0.0
"Lateral geniculate","Supplementary motor",1,5179,2360,7539,0.000132643586683
(Dorsomedial AND hypothal*),(Periventricular AND (nuclei OR nucleus)),344,1795,2151,3946,0.0871768879878
Cerebellum,Hypothalam*,3946,61454,103603,165057,0.0239068927704
(Dorsomedial AND hypothal*),"Lateral geniculate",30,2109,5150,7259,0.00413280066125
"Globus pallidus",Putamen,1639,6467,9110,15577,0.105219233485
"Basal forbrain",Suprachiasmatic,0,1,6026,6027,0.0
"Broca's area",(Periventricular AND (nuclei OR nucleus)),2,692,2493,3185,0.000627943485086
("Heschl's gyrus" OR "Transverse temporal"),("Nucleus gracilis" OR "gracile nucleus"),0,1148,374,1522,0.0
("Gustatory cortex" OR "gustatory area"),"Zona incerta",2,151,972,1123,0.00178094390027
"Dentate gyrus",(Periventricular AND (nuclei OR nucleus)),40,11403,2455,13858,0.00288641939674
"Indusium griseum","Inferior temporal",0,77,1711,1788,0.0
"Inferior temporal","Piriform cortex",1,1710,1742,3452,0.000289687137891
("Inferior olive" OR "Inferior olivary"),Pons,345,2035,25239,27274,0.0126494096942
("Inferior olive" OR "Inferior olivary"),"Interstitial nucleus",46,2334,468,2802,0.0164168451106
"Inferior parietal lobule",Putamen,34,762,10715,11477,0.0029624466324
"Inferior frontal","Supplementary motor",138,2674,2223,4897,0.0281805186849
"Inferior temporal",Subthalam*,3,1708,4126,5834,0.000514226945492
"Inferior temporal",("Ventral posterior" AND (nuclei OR nucleus)),0,1711,356,2067,0.0
"Inferior temporal","Thalamic reticular",0,1711,600,2311,0.0
"Lingual gyrus","Superior temporal",44,210,4063,4273,0.0102972150714
("Medial dorsal" AND nucl*),("Ventral posteromedial" AND (nuclei OR nucleus)),0,113,112,225,0.0
"Medial frontal","Pontine nuclei",1,1594,797,2391,0.000418235048097
("Nucleus gracilis" OR "gracile nucleus"),"Visual extrastriate",0,374,1534,1908,0.0
("Nucleus gracilis" OR "gracile nucleus"),("Ventral posterolateral" AND (nuclei OR nucleus)),8,366,140,506,0.0158102766798
Parahippocamp*,"Superior temporal",259,2400,3848,6248,0.0414532650448
"Middle frontal","Stria terminalis",0,1028,2730,3758,0.0
(Medulla OR "medulla oblongata"),Premotor,280,50542,4449,54991,0.0050917422851
(Medulla OR "medulla oblongata"),Perirhinal,8,50814,1192,52006,0.000153828404415
Operculum,("Posterior nucleus" AND hypothalamus),0,926,67,993,0.0
"Postcentral gyrus",("Superior olive" OR "superior olivary"),0,531,1257,1788,0.0
("Locus coeruleus" OR "locus ceruleus"),Temporoparietal,2,7637,1458,9095,0.00021990104453
"Paracentral lobule","Substantia nigra",0,65,19387,19452,0.0
"Posterior cingulate",Thalamus,324,1578,42558,44136,0.00734094616639
Pons,"Thalamic reticular",17,25567,583,26150,0.000650095602294
Pineal,("Straight gyrus" OR "gyrus rectus"),0,14403,130,14533,0.0
(Septal AND (nuclei OR nucleus)),("Ventral posterior" AND (nuclei OR nucleus)),10,4650,346,4996,0.00200160128102
Subgranular,(Superior AND collicul*),1,631,10083,10714,9.33358222886e-05
Subgranular,("Ventral posterior" AND (nuclei OR nucleus)),0,632,356,988,0.0
"Anterior cingulate","Interstitial nucleus",1,5801,513,6314,0.000158378207159
Cerebellum,"Middle temporal",122,65278,1515,66793,0.00182653870915
"Anterior cingulate",(Medulla OR "medulla oblongata"),45,5757,50777,56534,0.000795981179467
Cerebellum,(Septal AND (nuclei OR nucleus)),201,65199,4459,69658,0.00288552642913
Cingulate,Operculum,127,10977,799,11776,0.0107846467391
Cingulate,Entorhinal,412,10692,5135,15827,0.0260314652177
Cerebellum,"Diagonal band of Broca",28,65372,867,66239,0.000422711695527
(Dorsomedial AND hypothal*),"Postcentral gyrus",0,2139,531,2670,0.0
"Diagonal band of Broca","Primary sensory",0,895,3010,3905,0.0
"Basal forbrain","Postcentral gyrus",0,1,531,532,0.0
"Basal forbrain",("Ventral anterior" AND (nuclei OR nucleus)),0,1,237,238,0.0
("Heschl's gyrus" OR "Transverse temporal"),"Inferior temporal",16,1132,1695,2827,0.00565970993987
("Heschl's gyrus" OR "Transverse temporal"),"Medial geniculate",8,1140,1241,2381,0.00335993280134
("Heschl's gyrus" OR "Transverse temporal"),"Substantia nigra",3,1145,19384,20529,0.000146134736227
Cingulum,"Dentate gyrus",15,670,11428,12098,0.0012398743594
Cingulum,Insula*,34,651,17139,17790,0.00191118605958
Cingulum,"Primary motor",2,683,3203,3886,0.000514668039115
Claustrum,("Medial dorsal" AND nucl*),30,82711,83,82794,0.000362345097471
"Dentate gyrus",("Medial dorsal" AND nucl*),3,11440,110,11550,0.00025974025974
(Inferior AND collicul*),("Mammillary body" OR "Mammillary bodies),34,4249,1335,5584,0.0060888252149
"Indusium griseum","Supplementary motor",0,77,2361,2438,0.0
"Inferior temporal","Interstitial nucleus",0,1711,514,2225,0.0
Hippocamp*,("Red nucleus"),199,103895,2177,106072,0.00187608416924
"Inferior temporal",(Intralaminar AND (nuclei OR nucleus)),2,1709,1098,2807,0.000712504453153
("Medial dorsal" AND nucl*),"Piriform cortex",3,110,1740,1850,0.00162162162162
"Interstitial nucleus","Lateral geniculate",16,498,5164,5662,0.00282585658778
("Nucleus cuneatus" OR "cuneate nucleus"),"Visual extrastriate",0,692,1534,2226,0.0
Parahippocamp*,"Primary motor",15,2644,3190,5834,0.00257113472746
"Medial geniculate","Visual cortex",38,1211,22842,24053,0.00157984451004
periaqueductal,Prefrontal,181,4395,23920,28315,0.00639237153452
Perirhinal,Precuneus,3,1197,1217,2414,0.00124275062138
(Medulla OR "medulla oblongata"),Pineal,209,50613,14194,64807,0.00322496026664
Perirhinal,"Posterior parahippocampal gyrus",3,1197,38,1235,0.00242914979757
(Medulla OR "medulla oblongata"),"Supplementary motor",14,50808,2347,53155,0.000263380679146
Perirhinal,("Ventral posteromedial" AND (nuclei OR nucleus)),2,1198,110,1308,0.00152905198777
Premotor,Pulvinar,20,4709,1113,5822,0.00343524562006
Pineal,Putamen,43,14360,10706,25066,0.00171547115615
"Primary motor",Subiculum,113,3092,98128,101220,0.00111638016202
(Superior AND collicul*),"Zona incerta",170,9914,804,10718,0.0158611681284
(Superior AND collicul*),"Ventral tegmentum",9,10075,276,10351,0.000869481209545
Prefrontal,Subiculum,3698,20403,94543,114946,0.0321716284168
Pulvinar,("Superior olive" OR "superior olivary"),0,1133,1257,2390,0.0
Ambiguus,"Inferior temporal",0,1216,1711,2927,0.0
"Anterior cingulate","Indusium griseum",1,5801,76,5877,0.000170154840905
Ambiguus,Subgranular,0,1216,632,1848,0.0
"Basal forbrain",("Gustatory cortex" OR "gustatory area"),0,1,153,154,0.0
Cingulate,"Lateral geniculate",41,11063,5139,16202,0.00253055178373
("Centromedian" AND (nuclei OR nucleus)),Pons,12,204,25572,25776,0.000465549348231
"Angular gyrus","Ventral tegmentum",0,502,285,787,0.0
(Cochlear AND (nuclei OR nucleus)),("Straight gyrus" OR "gyrus rectus"),0,5307,130,5437,0.0
Fusiform,("Locus coeruleus" OR "locus ceruleus"),29,5426,7610,13036,0.0022246087757
"Dorsolateral prefrontal",Pulvinar,15,2989,1118,4107,0.0036523009496
"Dorsolateral prefrontal","Lingual gyrus",19,2985,235,3220,0.00590062111801
Cerebellum,("Locus coeruleus" OR "locus ceruleus"),635,64765,7004,71769,0.00884783123633
("Centromedian" AND (nuclei OR nucleus)),"Nucleus accumbens",5,211,12540,12751,0.000392126107756
"Indusium griseum","Olfactory bulb",9,68,11202,11270,0.000798580301686
Claustrum,Subgranular,14,82727,618,83345,0.000167976483292
"Inferior parietal lobule","Posterior parahippocampal gyrus",3,793,38,831,0.00361010830325
"Inferior temporal","Middle frontal",65,1646,963,2609,0.0249137600613
("Mammillary body" OR "Mammillary bodies),Striatum,64,1305,58876,60181,0.00106345856666
("Mammillary body" OR "Mammillary bodies),"Ventral tegmentum",42,42,281,323,0.130030959752
(Inferior AND collicul*),"Substantia nigra",233,4050,19154,23204,0.0100413721772
"Nucleus basalis","Thalamic reticular",8,1839,592,2431,0.00329082682024
("Medial dorsal" AND nucl*),"Middle frontal",1,112,1027,1139,0.000877963125549
"Medial geniculate","Superior frontal",0,1249,1091,2340,0.0
Parahippocamp*,"Visual extrastriate",40,2619,1494,4113,0.0097252613664
Infralimbic,("Posterior nucleus" AND hypothalamus),5,491,62,553,0.00904159132007
Perirhinal,"Posterior cingulate",11,1189,1891,3080,0.00357142857143
("Locus coeruleus" OR "locus ceruleus"),Premotor,20,7619,4709,12328,0.00162232316677
"Olfactory bulb",(Raphe AND (nuclei OR nucleus)),222,10989,8099,19088,0.0116303436714
"Olfactory bulb",Suprachiasmatic,105,11106,5921,17027,0.00616667645504
("Posterior nucleus" AND hypothalamus),Pulvinar,1,66,1132,1198,0.000834724540902
