serotonin,5-Hydroxytryptamine
contextual knowledge,contextual knowledge
control network,control networks
convergent thinking,convergent thinking
Broca's area,convolution of Broca
transverse temporal gyrus,convolutions of Heschl
hippocampus,Cornu ammonis
corona radiata,corona radiata
mammillary body,Corpora mamillaria
mammillary body,Corpora mammillaria
amygdala,Corpus amygdalae
amygdala,Corpus amygdaloideum
inferior colliculus,Corpus bigeminalis caudalis
inferior colliculus,Corpus bigeminum posterioris
splenium of the corpus callosum,corpus callosum splenium
cerebellum,Corpus cerebelli
lateral geniculate nucleus,Corpus geniculatum laterale
medial geniculate body,Corpus geniculatum mediale
medial geniculate body,Corpus geniculatus medialis
subthalamic nucleus,Corpus hypothalamicum
subthalamic nucleus,Corpus Luysi
mammillary body,Corpus mamillare
mammillary body,Corpus mamillaris
mammillary body,Corpus mammillare
pineal body,Corpus pineale
pineal body,Corpus pineale
superior colliculus,Corpus quadrigeminum superius
inferior cerebellar peduncle,corpus restiforme
basal ganglia,corpus striatum
striatum,Corpus striatum
subthalamic nucleus,Corpus subthalamicum
trapezoid body,corpus trapezoides
trapezoid body,Corpus trapezoideum
anterior cingulate gyrus,Cortex cingularis anterior
entorhinal area,Cortex entorhinalis
insula,Cortex insularis
insula,cortex of island
orbital gyri,Cortex orbitofrontalis
corticotropin-releasing hormone,corticoliberin
corticospinal tract,corticospinal fibers
corticotropin-releasing hormone,corticotropin-releasing factor
cortisol,cortisol
superior colliculus,cranial colliculus
creativity,creativity
Creutzfeldt-Jakob disease,Creutzfeldt-Jakob
crossmodal,cross-modal
inferior cerebellar peduncle,crus cerebelli ad medullam oblongatam
middle cerebellar peduncle,crus cerebelli ad pontem
superior cerebellar peduncle,crus cerebello-cerebrale
inferior cerebellar peduncle,crus medullo-cerebellare
middle cerebellar peduncle,crus ponto-cerebellare
crystallized intelligence,crystallized intelligence
cuneate nucleus of the medulla,cuneate nuclei
cuneate nucleus of the medulla,cuneate nucleus
cuneate nucleus of the medulla,cuneate nucleus
Dandy-Walker syndrome,Dandy-Walker
datura,datura
deception,decieving
decision making,decision making
declarative knowledge,declarative knowledge
declarative memory,declarative memories
deductive inference,deductive inference
deductive reasoning,deductive reasoning
basal ganglia,deep nuclear gray of hemisphere
default network,default mode
default network,default mode network
default network,default networks
delay discounting,delay discounting
delayed match to sample,delayed match to sample
delayed nonmatch to sample,delayed nonmatch to sample
delayed recall,delayed recall
delayed recognition,delayed recognition
tetrahydrocannabinol,delta-9-tetrahydrocannabinol
dementia,demented
dentate gyrus,dentate gyri
dentate nucleus,dentate nuclei
dentate nucleus,dentate nucleus
depression,depressive
methamphetamine,desoxyephedrine
dextromethorphan hydrobromide,dextromethorphan hydrobromide
diabetes,diabetic
heroin,diacetylmorphine
diagonal band,diagonal band of Broca
diagonal band,diagonal bands
diagonal band,diagonal gyrus
heroin,diamorphine
diffusion tensor imaging,diffusion tensor
diffusion tensor imaging,diffusion weighted
diffusion tensor imaging,diffusion weighted imaging
digit span,digit span
dopamine,dihydroxyphenethylamine
dimethyltryptamine,dimethyltryptamine
disgust,disgusted
lateral thinking,divergent thinking
divided attention,divided attention
dorsal motor nucleus of the vagus nerve,dorsal efferent nucleus of vagus
lateral geniculate nucleus,dorsal lateral geniculate nucleus
medial dorsal nucleus,dorsal medial nucleus of thalamus
dorsal motor nucleus of the vagus nerve,dorsal motor nuclei
dorsal motor nucleus of the vagus nerve,dorsal motor nucleus
lateral geniculate nucleus,dorsal nuclei of lateral geniculate body
lateral geniculate nucleus,dorsal nucleus of lateral geniculate body
dorsal motor nucleus of the vagus nerve,dorsal nucleus of vagus nerve
dorsal motor nucleus of the vagus nerve,dorsal vagal nucleus
dorsomedial nucleus of the hypothalamus,dorsomedial hypothalamic nucleus
medial dorsal nucleus,dorsomedial nuclear group
medial dorsal nucleus,dorsomedial nuclei
dorsomedial nucleus of the hypothalamus,dorsomedial nucleus
medial dorsal nucleus,dorsomedial nucleus
dorsomedial nucleus of the hypothalamus,dorsomedial nucleus of hypothalamus
dorsomedial nucleus of the hypothalamus,dorsomedial nucleus of the hypothalamus
tetrahydrocannabinol,dronabinol
diffusion tensor imaging,DTI
dysgraphia,dysgraphic
dyslexia,dyslexic
dyspraxia,dyspraxic
electroencephalography,ECoG
methylenedioxymethamphetamine,ecstasy
edge detection,edge detection
electroencephalography,EEG
electroencephalography,electroencephalogram
electroencephalography,electroencephalographic
emboliform nucleus,emboliform nuclei
emboliform nucleus,emboliform nucleus
emotion experience,emotion experiences
emotional memory,emotion memories
emotional memory,emotion memory
emotional perception,emotion perception
emotional perception,emotion perceptions
emotional recognition,emotion recognition
emotional suppression,emotion suppression
emotion,emotional
emotional bonding,emotional bonding
emotion experience,emotional experience
emotion experience,emotional experiences
emotional intelligence,emotional intelligence
emotional memory,emotional memories
emotional perception,emotional perceptions
emotion regulation,emotional regulation
emotion relevance,emotionally relevant
emotion,emotions
empathy,empathic
emulation,emulation
endocannabinoids,endocannabinoid
enkephalin,enkephalin
entorhinal area,entorhinal
entorhinal area,entorhinal area
entorhinal area,entorhinal cortex
entorhinal area,entorhinal cortices
cerebellum,epencephalon
epilepsy,epileptic
epilepsy,epileptic
pineal body,Epiphysis
pineal body,Epiphysis cerebri
episodic buffer,episodic buffer
episodic learning,episodic learning
episodic memory,episodic memories
episodic recall,episodic recall
error detection,error detection
estrogen,estrogens
executive control,executive control
executive function,executive functions
explicit knowledge,explicit knowledge
explicit learning,explicit learning
explicit memory,explicit memories
inferior longitudinal fasciculus,external sagittal stratum
eye contact,eye contact
eye movement,eye movements
eyeblink conditioning,eyeblink conditioning
eyelid conditioning,eyelid conditioning
face perception,face perception
face recognition,face recognition
facial expression,facial expression
facial nucleus,facial motor nuclei
facial nucleus,facial motor nucleus
facial nucleus,facial nuclei
temporal operculum,facies supratemporalis
false memory,false memory
familiarity,familiarity
dentate gyrus,Fascia dentata
dentate gyrus,Fascia dentata hippocampi
corticospinal tract,fasciculus cerebro-spinalis
diagonal band,Fasciculus diagonalis Brocae
inferior longitudinal fasciculus,fasciculus longitudinalis inferior
superior longitudinal fasciculus,fasciculus longitudinalis superior
inferior occipitofrontal fasciculus,fasciculus occipito-frontalis inferior
subcallosal fasciculus,fasciculus occipito-frontalis superior
inferior occipitofrontal fasciculus,fasciculus occipitofrontalis inferior
inferior occipitofrontal fasciculus,fasciculus occipitofrontalis inferior
subcallosal fasciculus,fasciculus occipitofrontalis superior
diagonal band,Fasciculus olfactorius
diagonal band,Fasciculus olfactorius cornu Ammonis
diagonal band,Fasciculus olfactorius hippocampi
diagonal band,Fasciculus septo-amygdalicus
subcallosal fasciculus,fasciculus subcallosus
uncinate fasciculus of the forebrain,fasciculus uncinatus
fastigial nucleus,fastigial nuclei
fastigial nucleus,fastigial nucleus
fear,fear
feature detection,feature detection
feature extraction,feature extraction
arcuate fasciculus,fibrae arcuatae cerebri
corticospinal tract,fibrae corticospinales
stria terminalis,Fibrae striae terminalis
stria terminalis,fibrae striae terminalis
figure ground,figure ground
calcarine sulcus,Fissura calcarina
fixation,fixation
Eriksen flanker task,flanker
Eriksen flanker task,flanker task
fluid intelligence,fluid intelligence
functional magnetic resonance imaging,fMRI
focused attention,focused attention
anterior forceps of the corpus callosum,forceps frontalis
posterior forceps of the corpus callosum,forceps major
posterior forceps of the corpus callosum,forceps major corporis callosi
posterior forceps of the corpus callosum,forceps major of corpus callosum
anterior forceps of the corpus callosum,forceps minor
anterior forceps of the corpus callosum,forceps minor corporis callosi
anterior forceps of the corpus callosum,forceps minor of corpus callosum
posterior forceps of the corpus callosum,forceps occipitalis
forgetting,forgetting
form perception,form perceptions
fornix,fornix cerebri
diffusion tensor imaging,fractional anisotropy
free will,free will
frontal eye field,frontal eye fields
anterior forceps of the corpus callosum,frontal forceps
frontal eye field,frontal gaze center
frontal eye field,frontal lobe eye field
frontal eye field,frontal motor eye field
functional connectivity,functional connectivity
functional magnetic resonance imaging,functional magnetic resonance
fusiform gyrus,fusiform gyri
fusiform gyrus,fusiform gyrus
fusiform gyrus,fusiform gyrus
GABA,gamma aminobutyric acid
gamma-hydroxybutyric acid,gamma-hydroxybutyrate
gamma-hydroxybutyric acid,gamma-hydroxybutyrate
basal ganglia,Ganglia basales
habenula,Ganglion habenulae
habenula,Ganglion intercrurale
habenula,Ganglion interpedunculare
basal forebrain nucleus,ganglion of Meynert
genu of the internal capsule,genu capsulae internae
genu of the corpus callosum,genu corpus callosi
genu of the corpus callosum,genu of corpus callosum
genu of the internal capsule,genu of the internal capsule
pineal body,Glandula pinealis
globose nucleus,globose nuclei
globose nucleus,globose nucleus
globus pallidus,globus pallidus
glucagon,glucagon
glucocorticoid,glucocorticoids
glutamate,glutamic acid
go/no-go,go/no-go
goal formation,goal formation
goal maintenance,goal maintenance
gracile nucleus of the medulla,Goll's nucleus
gracile nucleus of the medulla,gracile nuclei
gracile nucleus of the medulla,gracile nucleus
gracile nucleus of the medulla,gracile nucleus of the medulla
indusium griseum,gray stria of Lancisi
somatostatin,growth hormone-inhibiting hormone
gustatory area,gustatory cortex
gustatory area,gustatory cortices
gustatory learning,gustatory learning
gustatory memory,gustatory memories
gustatory perception,gustatory perception
cingulate gyrus,Gyri cinguli
transverse temporal gyrus,gyri of Heschl
orbital gyri,Gyri orbitales
transverse temporal gyrus,Gyri temporales transversi
angular gyrus,Gyrus angularis
postcentral gyrus,Gyrus centralis posterior
cingulate gyrus,Gyrus cingulatus
cingulate gyrus,Gyrus cinguli
anterior cingulate gyrus,Gyrus cinguli anterior
posterior cingulate gyrus,Gyrus cinguli posterior
dentate gyrus,Gyrus dentatus
diagonal band,Gyrus diagonalis
diagonal band,gyrus diagonalis rhinencephli
inferior frontal gyrus,Gyrus frontalis inferior
medial frontal gyrus,Gyrus frontalis medialis
middle frontal gyrus,Gyrus frontalis medialis
middle frontal gyrus,Gyrus frontalis medius
superior frontal gyrus,Gyrus frontalis primus
middle frontal gyrus,Gyrus frontalis secundus
superior frontal gyrus,Gyrus frontalis superior
superior frontal gyrus,Gyrus frontalis superior
medial frontal gyrus,Gyrus frontalis superior pars medialis
inferior frontal gyrus,Gyrus frontalis tertius
fusiform gyrus,Gyrus fusiformis
fusiform gyrus,Gyrus fusiformis
parahippocampal gyrus,Gyrus hippocampi
anterior cingulate gyrus,Gyrus limbicus anterior
posterior cingulate gyrus,Gyrus limbicus posterior
lingual gyrus,Gyrus lingualis
fusiform gyrus,Gyrus occipito-temporalis lateralis
fusiform gyrus,Gyrus occipitotemporalis lateralis
lingual gyrus,Gyrus occipitotemporalis medialis
orbital gyri,Gyrus orbitalis
orbital gyri,gyrus orbitalis longitudinalis
orbital gyri,Gyrus orbitofrontalis
parahippocampal gyrus,Gyrus parahippocampalis
parahippocampal gyrus,Gyrus parahippocampi
angular gyrus,Gyrus parietalis inferior
medial parietal gyrus,Gyrus parietalis medialis
superior parietal lobule,Gyrus parietalis superior
postcentral gyrus,Gyrus postcentralis
straight gyrus,gyrus rectus
inferior temporal gyrus,Gyrus temporalis inferior
middle temporal gyrus,Gyrus temporalis medius
superior temporal gyrus,Gyrus temporalis superior
superior temporal gyrus,Gyrus temporalis superior
habenula,Habenula
habenula,Habenula complex
habenula,habenulae
habenula,habenular
habenula,habenular nuclei
habit learning,habit learning
habit memory,habit memories
hallucination,hallucinations
hallucination,hallucinatory
handedness,handedness
happiness,happy
audition,hearing
hedonism,hedonic
herpes zoster,herpes zoster
transverse temporal gyrus,Heschl's convolutions
transverse temporal gyrus,Heschl's gyri
transverse temporal gyrus,Heschl's gyrus
hippocampus,Hippocampal
parahippocampal gyrus,hippocampal gyri
parahippocampal gyrus,hippocampal gyrus
hippocampus,Hippocampi
hippocampus,hippocampus major
hippocampus,hippocampus proper
hippocampus,hippocampuses
histamine,histamines
HIV,human immunodeficiency virus
humiliation,humiliate
humiliation,humiliated
Huntington's disease,Huntington's
hydrocephalus,hydrocephalic
dopamine,hydroxytyramine
hypothalamus,Hypothalami
hypothalamus,hypothalamic
hypothalamus,hypothalamuses
ibogaine,ibogaine
iconic memory,iconic memories
electroencephalography,iEEG
implicit knowledge,implicit knowledge
implicit memory,implicit memories
imprinting,imprinting
inattention,inattentive
inductive inference,inductive inference
inductive reasoning,inductive reasoning
inferior cerebellar peduncle,inferior cerebellar peduncle
inferior colliculus,inferior colliculi
inferior colliculus,inferior colliculus
inferior frontal gyrus,inferior frontal
inferior frontal gyrus,inferior frontal convolution
inferior frontal gyrus,inferior frontal gyri
inferior occipitofrontal fasciculus,inferior fronto-occipital fasciculus
inferior occipitofrontal fasciculus,inferior frontooccipital fasciculus
inferior longitudinal fasciculus,inferior longitudinal fasciculus
inferior olive,inferior olivary eminence
inferior olive,inferior olives
inferior parietal lobule,inferior parietal gyri
inferior parietal lobule,inferior parietal gyrus
inferior parietal lobule,inferior parietal lobules
inferior parietal lobule,inferior portion of parietal gyrus
inferior salivatory nucleus,inferior salivatory nuclei
inferior salivatory nucleus,inferior salivatory nucleus
inferior temporal gyrus,inferior temporal gyri
inferior temporal gyrus,inferior temporal gyrus
inhibition of return,inhibition of return
insula,insula cerebri
insula,insula lobule
insula,Insula Reilii
insula,insulae
insula,insular
insula,insular cortex
insula,insular gyrus
insula,insular lobe
insula,Insulas
insulin,insulin
intelligence,intelligence
intentional forgetting,intentional forgetting
corpus callosum,interhemispheric commissure
middle frontal gyrus,intermediate frontal gyrus
premotor cortex,intermediate precentral cortex
basal nucleus of the amygdala,intermediate principal nucleus
middle temporal gyrus,intermediate temporal gyrus
internal capsule,internal capsule radiations
internal speech,internal speech
interstitial nucleus of Cajal,interstitial nuclei of Cajal
interstitial nucleus of Cajal,interstitial nucleus of Cajal
interstitial nucleus of Cajal,interstitial nucleus of medial longitudinal fasciculus
intralaminar nuclear group,intralaminar nuclear group
intralaminar nuclear group,intralaminar nuclei
intralaminar nuclear group,intralaminar nuclei of thalamus
intralaminar nuclear group,intralaminar thalamic nuclei
intrinsic motivation,intrinsic motivation
introspection,introspective
involuntary attention,involuntary attention
Iowa Gambling,Iowa Gambling
insula,island of Reil
ketamine,ketamine
kinesthesia,kinesthetic
Kluver-Bucy syndrome,Kluver-Bucy
language acquisition,language acquisition
language comprehension,language comprehension
language learning,language learning
language processing,language processing
language production,language production
medial lemniscus,laqueus medialis
lateral geniculate nucleus,lateral geniculate bodies
lateral geniculate nucleus,lateral geniculate body
lateral geniculate nucleus,lateral geniculate nuclei
dentate nucleus,lateral nucleus of cerebellum
fusiform gyrus,lateral occipito-temporal gyrus
inferior temporal gyrus,lateral occipitotemporal gyrus
learning,learning
medial lemniscus,lemniscus medialis
medial lemniscus,lemniscus sensibilis
medial lemniscus,lemniscus sensitivus
letter fluency,letter fluency
letter naming,letter naming
lexical encoding,lexical encoding
lexical processing,lexical processing
lexical retrieval,lexical retrieval
single-unit recording,LFP
lingual gyrus,lingual gyri
lingual gyrus,lingual gyrus
lingual gyrus,lingula of cerebral hemisphere
inferior parietal lobule,Lobulus parietalis inferior
superior parietal lobule,Lobulus parietalis superior
insula,Lobus insularis
single-unit recording,local field potential
single-unit recording,local field potentials
locus ceruleus,Locus caeruleus
locus ceruleus,Locus caeruleus
locus ceruleus,locus ceruleus
locus ceruleus,Locus coeruleus
logical reasoning,logical reasoning
logical thinking,logical thinking
long term memory,long term memories
loss aversion,loss aversion
gonadotropin-releasing hormone,luliberin
gonadotropin-releasing hormone,Luteinizing-hormone-releasing hormone
prolactin,luteotropic hormone
lying,lying
lysergic acid diethylamide,lysergide
magnetoencephalography,magnetoencephalogram
magnetoencephalography,magnetoencephalographic
mammillary body,mamillary body
mammillary body,mammillary bodies
bipolar disorder,manic depression
bipolar disorder,manic depressive
superior frontal gyrus,marginal gyri
superior frontal gyrus,marginal gyrus
cannabis,marihuana
cannabis,marijuana
septum,Massa praecommissuralis
mathematical reasoning,mathematical reasoning
medial dorsal nucleus,medial dorsal nuclei
medial dorsal nucleus,medial dorsal thalamic nucleus
medial frontal gyrus,medial frontal gyri
medial geniculate body,medial geniculate bodies
medial geniculate body,medial geniculate body
medial geniculate body,medial geniculate nuclei
medial geniculate body,medial geniculate nucleus
medial dorsal nucleus,medial nuclear group
fastigial nucleus,medial nucleus of cerebellum
lingual gyrus,medial occipitotemporal gyrus
medial parietal gyrus,medial parietal gyri
straight gyrus,medial part of gyri orbitales
medial prefrontal cortex,medial prefrontal cortex
medial prefrontal cortex,medial prefrontal cortices
medial dorsal nucleus,medial thalamic nuclei
medial dorsal nucleus,medial thalamic nucleus
medial lemniscus,median fillet
medial dorsal nucleus,mediodorsal nuclei
medial dorsal nucleus,mediodorsal nucleus
medial dorsal nucleus,mediodorsal thalamic nucleus
meditation,meditative
medulla,medulla
medulla,medulla oblongata
magnetoencephalography,MEG
memory,memories
memory acquisition,memory acquisition
memory consolidation,memory consolidation
memory retrieval,memory retrieval
memory storage,memory storage
memory trace,memory traces
mental imagery,mental imagery
mental arithmetic,mental math
mental representation,mental representation
mental rotation,mental rotation
mesencephalic nucleus of the trigeminal nerve,mesencephalic nucleus
mesencephalic nucleus of the trigeminal nerve,mesencephalic nucleus of the trigeminal nerve
medial lemniscus,mesial fillet
metacognition,metacognitive
metamemory,metamemories
methamphetamine,metamfetamine
metaphor,metaphorical
metaphor,metaphors
metaphor,metaphors
methadone,methadone
methamphetamine,methylamphetamine
middle frontal gyrus,middle frontal gyri
angular gyrus,middle part of inferior parietal lobule
middle temporal gyrus,middle temporal gyri
middle temporal gyrus,middle temporal gyrus
migraine,migraines
mimickry,mimickry
mindfulness,mindfulness
mirror neuron,mirror neuron system
mirror neuron,mirror neurons
monoamine oxidase inhibitor,monoamine oxidase inhibitors
morality,moral
morality,morality
morality,morals
morphine,morphine
morphological processing,morphological processing
primary motor cortex,motor area
motor control,motor control
primary motor cortex,motor cortex
primary motor cortex,motor cortices
motor imitation,motor imitation
motor learning,motor learning
motor memory,motor memories
facial nucleus,motor nucleus of VII
motor planning,motor planning
motor sequence learning,motor sequence learning
Broca's area,motor speech area of Broca
primary motor cortex,motor strip
movement planning,movement planning
single-unit recording,multi-unit recording
multiple sclerosis,multiple sclerosis
multisensory,multisensory
multisensory integration,multisensory integration
music comprehension,music comprehension
melatonin,N-acetyl-5-methoxytryptamine
anandamide,N-arachidonoylethanolamine
n-back,n-back
narcolepsy,narcoleptic
striatum,neostriatum
cranial nerves,nervi craniales
cranial nerves,nervi encephalici
neurogenesis,neurogenesis
neuroplasticity,neuroplasticity
nicotine,nicotine
nondeclarative knowledge,nondeclarative knowledge
nondeclarative memory,nondeclarative memories
intralaminar nuclear group,nonspecific thalamic
norepinephrine,noradrenaline
novelty detection,novelty detection
novelty processing,novelty processing
basal ganglia,Nuclei basales
pontine nuclei,Nuclei brachii pontis
cochlear nuclei,Nuclei cochleares
globose nucleus,Nuclei globosi
habenula,Nuclei habenulares
intralaminar nuclear group,Nuclei intralaminares
medial dorsal nucleus,Nuclei mediales thalami
pontine nuclei,Nuclei pontis
pulvinar,Nuclei pulvinares
raphe nuclei,Nuclei raphae
raphe nuclei,Nuclei raphes
solitary nucleus,Nuclei tractus solitarii
ventral posterior nucleus,Nuclei ventrales posteriores
vestibular nuclei,Nuclei vestibulares
mesencephalic nucleus of the trigeminal nerve,Nucleus  mesencephalicus nervi trigeminalis
abducens nucleus,Nucleus abducens
nucleus accumbens,nucleus accumbens
nucleus accumbens,Nucleus accumbens septi
dorsal motor nucleus of the vagus nerve,Nucleus alaris
nucleus ambiguus,nucleus ambiguus
nucleus ambiguus,Nucleus ambiguus
amygdala,nucleus amygdalae
basal nucleus of the amygdala,Nucleus amygdalae basalis
basal nucleus of the amygdala,Nucleus amygdaloideus basalis
basal nucleus of the amygdala,Nucleus amygdaloideus basolateralis
ventral posteromedial nucleus,Nucleus arcuatus thalami
basal forebrain nucleus,Nucleus basalis
basal nucleus of the amygdala,Nucleus basalis amygdalae
basal forebrain nucleus,Nucleus basalis Meynert
basal forebrain nucleus,nucleus basalis of Meynert
caudate nucleus,Nucleus caudatus
centromedian nucleus,Nucleus centralis centralis
centromedian nucleus,Nucleus centralis thalami
centromedian nucleus,Nucleus centri mediani thalami
centromedian nucleus,Nucleus centromedianus
centromedian nucleus,Nucleus centromedianus thalami
centromedian nucleus,Nucleus centrum medianum
lateral geniculate nucleus,Nucleus corporis geniculati lateralis
medial geniculate body,Nucleus corporis geniculati medialis
cuneate nucleus of the medulla,Nucleus cuneatus
cuneate nucleus of the medulla,Nucleus cuneatus medialis
dentate nucleus,Nucleus dentatus
dentate nucleus,Nucleus dentatus cerebelli
dorsal motor nucleus of the vagus nerve,Nucleus dorsalis motorius nervi vagi
dorsal motor nucleus of the vagus nerve,Nucleus dorsalis nervi vagi
dorsomedial nucleus of the hypothalamus,Nucleus dorsomedialis hypothalami
medial dorsal nucleus,Nucleus dorsomedialis thalami
emboliform nucleus,Nucleus emboliformis
emboliform nucleus,Nucleus emboliformis cerebelli
facial nucleus,Nucleus facialis
solitary nucleus,Nucleus fasciculus solitarius
fastigial nucleus,Nucleus fastigiatus
fastigial nucleus,Nucleus fastigii
fastigial nucleus,Nucleus fastigii cerebelli
fastigial nucleus,Nucleus fastigius cerebelli
lateral geniculate nucleus,Nucleus geniculatus lateralis dorsalis
medial geniculate body,Nucleus geniculatus medialis
